# fpr tpr
0.000000 0.000000
0.012821 0.000000
0.038462 0.000000
0.038462 0.014493
0.051282 0.014493
0.051282 0.021739
0.064103 0.021739
0.064103 0.057971
0.076923 0.057971
0.076923 0.130435
0.102564 0.130435
0.102564 0.137681
0.115385 0.137681
0.115385 0.144928
0.128205 0.144928
0.128205 0.159420
0.166667 0.159420
0.166667 0.166667
0.179487 0.166667
0.179487 0.195652
0.205128 0.195652
0.205128 0.217391
0.230769 0.217391
0.230769 0.231884
0.243590 0.231884
0.243590 0.253623
0.269231 0.253623
0.269231 0.260870
0.294872 0.260870
0.294872 0.268116
0.307692 0.268116
0.307692 0.275362
0.320513 0.275362
0.320513 0.311594
0.346154 0.311594
0.346154 0.326087
0.384615 0.326087
0.384615 0.333333
0.410256 0.333333
0.410256 0.362319
0.435897 0.362319
0.435897 0.384058
0.461538 0.384058
0.461538 0.391304
0.474359 0.391304
0.474359 0.398551
0.487179 0.398551
0.487179 0.405797
0.512821 0.405797
0.512821 0.413043
0.525641 0.413043
0.525641 0.427536
0.538462 0.427536
0.538462 0.442029
0.551282 0.442029
0.551282 0.485507
0.576923 0.485507
0.576923 0.500000
0.615385 0.500000
0.615385 0.507246
0.628205 0.507246
0.628205 0.514493
0.641026 0.514493
0.641026 0.528986
0.653846 0.528986
0.653846 0.536232
0.666667 0.536232
0.666667 0.543478
0.717949 0.543478
0.717949 0.557971
0.730769 0.557971
0.730769 0.608696
0.743590 0.608696
0.743590 0.615942
0.807692 0.615942
0.807692 0.630435
0.820513 0.630435
0.820513 0.659420
0.833333 0.659420
0.833333 0.666667
0.846154 0.666667
0.846154 0.695652
0.858974 0.695652
0.858974 0.702899
0.884615 0.702899
0.884615 0.710145
0.897436 0.710145
0.897436 0.731884
0.910256 0.731884
0.910256 0.789855
0.923077 0.789855
0.923077 0.826087
0.935897 0.826087
0.935897 0.833333
0.948718 0.833333
0.948718 0.876812
0.961538 0.876812
0.961538 0.971014
0.974359 0.971014
0.974359 0.978261
0.987179 0.978261
0.987179 1.000000
1.000000 1.000000
