# fpr ccr
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.108696
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.014493
0.000000 0.014493
0.000000 0.065217
0.000000 0.057971
0.000000 0.043478
0.000000 0.137681
0.000000 0.014493
0.000000 0.181159
0.012821 0.210145
0.012821 0.181159
0.025641 0.210145
0.038462 0.217391
0.038462 0.231884
0.051282 0.231884
0.051282 0.246377
0.051282 0.231884
0.064103 0.260870
0.076923 0.304348
0.076923 0.289855
0.076923 0.282609
0.076923 0.311594
0.115385 0.333333
0.128205 0.347826
0.128205 0.355072
0.128205 0.340580
0.141026 0.362319
0.141026 0.369565
0.166667 0.369565
0.166667 0.376812
0.179487 0.376812
0.179487 0.398551
0.179487 0.391304
0.205128 0.420290
0.205128 0.442029
0.217949 0.456522
0.243590 0.492754
0.282051 0.521739
0.294872 0.557971
0.307692 0.615942
0.307692 0.659420
0.307692 0.565217
0.371795 0.702899
0.474359 0.724638
0.525641 0.760870
0.538462 0.804348
0.576923 0.818841
0.641026 0.855072
0.679487 0.876812
0.730769 0.884058
0.833333 0.905797
0.858974 0.905797
0.935897 0.913043
0.961538 0.913043
0.974359 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
1.000000 0.913043
