# fpr tpr
0.000000 0.000000
0.000000 0.007246
0.000000 0.014493
0.012821 0.014493
0.012821 0.231884
0.025641 0.231884
0.025641 0.282609
0.038462 0.282609
0.038462 0.304348
0.051282 0.304348
0.051282 0.384058
0.064103 0.384058
0.064103 0.442029
0.076923 0.442029
0.076923 0.500000
0.115385 0.500000
0.115385 0.514493
0.141026 0.514493
0.141026 0.536232
0.166667 0.536232
0.166667 0.543478
0.179487 0.543478
0.179487 0.550725
0.192308 0.550725
0.192308 0.557971
0.230769 0.557971
0.230769 0.565217
0.269231 0.565217
0.269231 0.579710
0.333333 0.579710
0.333333 0.586957
0.346154 0.586957
0.346154 0.594203
0.371795 0.594203
0.371795 0.608696
0.397436 0.608696
0.397436 0.615942
0.410256 0.615942
0.410256 0.644928
0.423077 0.644928
0.423077 0.659420
0.435897 0.659420
0.435897 0.724638
0.448718 0.724638
0.448718 0.739130
0.474359 0.739130
0.474359 0.869565
0.487179 0.869565
0.487179 0.876812
0.500000 0.876812
0.500000 0.884058
0.512821 0.884058
0.512821 0.891304
0.538462 0.891304
0.538462 0.898551
0.576923 0.898551
0.576923 0.905797
0.615385 0.905797
0.615385 0.920290
0.628205 0.920290
0.628205 0.927536
0.641026 0.927536
0.641026 0.934783
0.653846 0.934783
0.653846 0.942029
0.666667 0.942029
0.666667 0.956522
0.679487 0.956522
0.679487 0.971014
0.717949 0.971014
0.717949 0.978261
0.769231 0.978261
0.769231 0.985507
0.833333 0.985507
0.833333 0.992754
0.884615 0.992754
0.884615 1.000000
1.000000 1.000000
