# fpr mean_ccr
0.000000 0.048738
0.001001 0.057834
0.002002 0.066929
0.003003 0.076025
0.004004 0.085121
0.005005 0.094217
0.006006 0.103313
0.007007 0.112409
0.008008 0.121505
0.009009 0.130601
0.010010 0.139696
0.011011 0.148792
0.012012 0.157888
0.013013 0.135118
0.014014 0.141024
0.015015 0.146930
0.016016 0.152836
0.017017 0.158742
0.018018 0.164648
0.019019 0.170554
0.020020 0.176460
0.021021 0.182366
0.022022 0.188272
0.023023 0.194178
0.024024 0.200084
0.025025 0.205990
0.026026 0.219016
0.027027 0.220794
0.028028 0.222573
0.029029 0.224351
0.030030 0.226129
0.031031 0.227907
0.032032 0.229686
0.033033 0.231464
0.034034 0.233242
0.035035 0.235020
0.036036 0.236799
0.037037 0.238577
0.038038 0.240355
0.039039 0.251022
0.040040 0.253115
0.041041 0.255208
0.042042 0.257300
0.043043 0.259393
0.044044 0.261485
0.045045 0.263578
0.046046 0.265671
0.047047 0.267763
0.048048 0.269856
0.049049 0.271949
0.050050 0.274041
0.051051 0.276134
0.052052 0.282990
0.053053 0.284984
0.054054 0.286979
0.055055 0.288973
0.056056 0.290968
0.057057 0.292962
0.058058 0.294957
0.059059 0.296952
0.060060 0.298946
0.061061 0.300941
0.062062 0.302935
0.063063 0.304930
0.064064 0.306924
0.065065 0.309045
0.066066 0.311172
0.067067 0.313298
0.068068 0.315424
0.069069 0.317550
0.070070 0.319677
0.071071 0.321803
0.072072 0.323929
0.073073 0.326055
0.074074 0.328182
0.075075 0.330308
0.076076 0.332434
0.077077 0.344130
0.078078 0.346088
0.079079 0.348046
0.080080 0.350003
0.081081 0.351961
0.082082 0.353919
0.083083 0.355876
0.084084 0.357834
0.085085 0.359792
0.086086 0.361750
0.087087 0.363707
0.088088 0.365665
0.089089 0.367623
0.090090 0.382735
0.091091 0.384507
0.092092 0.386279
0.093093 0.388051
0.094094 0.389823
0.095095 0.391595
0.096096 0.393367
0.097097 0.395139
0.098098 0.396911
0.099099 0.398683
0.100100 0.400455
0.101101 0.402227
0.102102 0.403999
0.103103 0.406161
0.104104 0.407158
0.105105 0.408156
0.106106 0.409153
0.107107 0.410151
0.108108 0.411148
0.109109 0.412146
0.110110 0.413143
0.111111 0.414141
0.112112 0.415138
0.113113 0.416136
0.114114 0.417133
0.115115 0.418131
0.116116 0.418277
0.117117 0.420316
0.118118 0.422355
0.119119 0.424395
0.120120 0.426434
0.121121 0.428473
0.122122 0.430513
0.123123 0.432552
0.124124 0.434591
0.125125 0.436631
0.126126 0.438670
0.127127 0.440709
0.128128 0.442749
0.129129 0.449778
0.130130 0.451373
0.131131 0.452969
0.132132 0.454564
0.133133 0.456159
0.134134 0.457755
0.135135 0.459350
0.136136 0.460946
0.137137 0.462541
0.138138 0.464136
0.139139 0.465732
0.140140 0.467327
0.141141 0.469637
0.142142 0.471141
0.143143 0.472646
0.144144 0.474150
0.145145 0.475655
0.146146 0.477159
0.147147 0.478664
0.148148 0.480168
0.149149 0.481673
0.150150 0.483177
0.151151 0.484682
0.152152 0.486186
0.153153 0.487691
0.154154 0.485294
0.155155 0.487223
0.156156 0.489153
0.157157 0.491082
0.158158 0.493012
0.159159 0.494941
0.160160 0.496871
0.161161 0.498800
0.162162 0.500730
0.163163 0.502659
0.164164 0.504589
0.165165 0.506518
0.166166 0.508448
0.167167 0.509987
0.168168 0.511299
0.169169 0.512612
0.170170 0.513924
0.171171 0.515237
0.172172 0.516549
0.173173 0.517862
0.174174 0.519174
0.175175 0.520487
0.176176 0.521799
0.177177 0.523112
0.178178 0.524424
0.179179 0.525737
0.180180 0.528664
0.181181 0.530216
0.182182 0.531767
0.183183 0.533319
0.184184 0.534870
0.185185 0.536422
0.186186 0.537973
0.187187 0.539525
0.188188 0.541077
0.189189 0.542628
0.190190 0.544180
0.191191 0.545731
0.192192 0.547283
0.193193 0.543649
0.194194 0.545720
0.195195 0.547791
0.196196 0.549862
0.197197 0.551933
0.198198 0.554004
0.199199 0.556075
0.200200 0.558146
0.201201 0.560217
0.202202 0.562288
0.203203 0.564359
0.204204 0.566430
0.205205 0.570591
0.206206 0.571573
0.207207 0.572555
0.208208 0.573537
0.209209 0.574518
0.210210 0.575500
0.211211 0.576482
0.212212 0.577464
0.213213 0.578445
0.214214 0.579427
0.215215 0.580409
0.216216 0.581391
0.217217 0.582372
0.218218 0.583353
0.219219 0.584330
0.220220 0.585307
0.221221 0.586284
0.222222 0.587261
0.223223 0.588238
0.224224 0.589215
0.225225 0.590192
0.226226 0.591169
0.227227 0.592146
0.228228 0.593123
0.229229 0.594100
0.230230 0.595077
0.231231 0.596114
0.232232 0.597220
0.233233 0.598326
0.234234 0.599433
0.235235 0.600539
0.236236 0.601645
0.237237 0.602751
0.238238 0.603857
0.239239 0.604963
0.240240 0.606070
0.241241 0.607176
0.242242 0.608282
0.243243 0.609388
0.244244 0.610279
0.245245 0.611056
0.246246 0.611832
0.247247 0.612609
0.248248 0.613386
0.249249 0.614162
0.250250 0.614939
0.251251 0.615716
0.252252 0.616493
0.253253 0.617269
0.254254 0.618046
0.255255 0.618823
0.256256 0.619600
0.257257 0.623735
0.258258 0.624669
0.259259 0.625604
0.260260 0.626538
0.261261 0.627472
0.262262 0.628406
0.263263 0.629340
0.264264 0.630274
0.265265 0.631209
0.266266 0.632143
0.267267 0.633077
0.268268 0.634011
0.269269 0.639694
0.270270 0.640429
0.271271 0.641163
0.272272 0.641897
0.273273 0.642631
0.274274 0.643365
0.275275 0.644100
0.276276 0.644834
0.277277 0.645568
0.278278 0.646302
0.279279 0.647037
0.280280 0.647771
0.281281 0.648505
0.282282 0.651702
0.283283 0.652623
0.284284 0.653544
0.285285 0.654465
0.286286 0.655385
0.287287 0.656306
0.288288 0.657227
0.289289 0.658148
0.290290 0.659069
0.291291 0.659990
0.292292 0.660911
0.293293 0.661832
0.294294 0.662753
0.295295 0.663737
0.296296 0.664807
0.297297 0.665876
0.298298 0.666946
0.299299 0.668016
0.300300 0.669085
0.301301 0.670155
0.302302 0.671225
0.303303 0.672294
0.304304 0.673364
0.305305 0.674434
0.306306 0.675503
0.307307 0.676573
0.308308 0.672556
0.309309 0.673602
0.310310 0.674648
0.311311 0.675694
0.312312 0.676740
0.313313 0.677787
0.314314 0.678833
0.315315 0.679879
0.316316 0.680925
0.317317 0.681971
0.318318 0.683017
0.319319 0.684064
0.320320 0.685110
0.321321 0.686052
0.322322 0.686969
0.323323 0.687886
0.324324 0.688803
0.325325 0.689720
0.326326 0.690637
0.327327 0.691554
0.328328 0.692472
0.329329 0.693389
