# fpr mean_ccr
0.000000 0.111676
0.001001 0.133073
0.002002 0.154469
0.003003 0.175866
0.004004 0.197263
0.005005 0.218659
0.006006 0.240056
0.007007 0.261453
0.008008 0.282849
0.009009 0.304246
0.010010 0.325642
0.011011 0.347039
0.012012 0.368436
0.013013 0.358465
0.014014 0.371363
0.015015 0.384262
0.016016 0.397160
0.017017 0.410059
0.018018 0.422957
0.019019 0.435856
0.020020 0.448754
0.021021 0.461652
0.022022 0.474551
0.023023 0.487449
0.024024 0.500348
0.025025 0.513246
0.026026 0.487559
0.027027 0.495856
0.028028 0.504154
0.029029 0.512451
0.030030 0.520749
0.031031 0.529046
0.032032 0.537343
0.033033 0.545641
0.034034 0.553938
0.035035 0.562236
0.036036 0.570533
0.037037 0.578830
0.038038 0.587128
0.039039 0.613039
0.040040 0.619049
0.041041 0.625059
0.042042 0.631068
0.043043 0.637078
0.044044 0.643087
0.045045 0.649097
0.046046 0.655107
0.047047 0.661116
0.048048 0.667126
0.049049 0.673136
0.050050 0.679145
0.051051 0.685155
0.052052 0.670523
0.053053 0.674844
0.054054 0.679166
0.055055 0.683488
0.056056 0.687809
0.057057 0.692131
0.058058 0.696453
0.059059 0.700774
0.060060 0.705096
0.061061 0.709417
0.062062 0.713739
0.063063 0.718061
0.064064 0.722382
0.065065 0.716219
0.066066 0.719700
0.067067 0.723181
0.068068 0.726663
0.069069 0.730144
0.070070 0.733626
0.071071 0.737107
0.072072 0.740588
0.073073 0.744070
0.074074 0.747551
0.075075 0.751032
0.076076 0.754514
0.077077 0.749306
0.078078 0.754427
0.079079 0.759548
0.080080 0.764669
0.081081 0.769790
0.082082 0.774910
0.083083 0.780031
0.084084 0.785152
0.085085 0.790273
0.086086 0.795394
0.087087 0.800514
0.088088 0.805635
0.089089 0.810756
0.090090 0.805428
0.091091 0.807376
0.092092 0.809323
0.093093 0.811271
0.094094 0.813219
0.095095 0.815166
0.096096 0.817114
0.097097 0.819061
0.098098 0.821009
0.099099 0.822957
0.100100 0.824904
0.101101 0.826852
0.102102 0.828800
0.103103 0.830703
0.104104 0.832569
0.105105 0.834435
0.106106 0.836300
0.107107 0.838166
0.108108 0.840032
0.109109 0.841897
0.110110 0.843763
0.111111 0.845629
0.112112 0.847495
0.113113 0.849360
0.114114 0.851226
0.115115 0.853092
0.116116 0.846466
0.117117 0.848403
0.118118 0.850340
0.119119 0.852277
0.120120 0.854214
0.121121 0.856151
0.122122 0.858089
0.123123 0.860026
0.124124 0.861963
0.125125 0.863900
0.126126 0.865837
0.127127 0.867774
0.128128 0.869711
0.129129 0.871047
0.130130 0.872333
0.131131 0.873619
0.132132 0.874905
0.133133 0.876191
0.134134 0.877478
0.135135 0.878764
0.136136 0.880050
0.137137 0.881336
0.138138 0.882622
0.139139 0.883908
0.140140 0.885194
0.141141 0.897694
0.142142 0.898326
0.143143 0.898957
0.144144 0.899589
0.145145 0.900220
0.146146 0.900852
0.147147 0.901483
0.148148 0.902115
0.149149 0.902746
0.150150 0.903378
0.151151 0.904009
0.152152 0.904641
0.153153 0.905272
0.154154 0.903605
0.155155 0.904628
0.156156 0.905651
0.157157 0.906674
0.158158 0.907697
0.159159 0.908720
0.160160 0.909743
0.161161 0.910766
0.162162 0.911789
0.163163 0.912812
0.164164 0.913835
0.165165 0.914858
0.166166 0.915881
0.167167 0.916740
0.168168 0.917435
0.169169 0.918130
0.170170 0.918825
0.171171 0.919520
0.172172 0.920215
0.173173 0.920910
0.174174 0.921605
0.175175 0.922300
0.176176 0.922995
0.177177 0.923690
0.178178 0.924385
0.179179 0.925080
0.180180 0.925778
0.181181 0.926476
0.182182 0.927174
0.183183 0.927872
0.184184 0.928571
0.185185 0.929269
0.186186 0.929967
0.187187 0.930665
0.188188 0.931364
0.189189 0.932062
0.190190 0.932760
0.191191 0.933458
0.192192 0.934157
0.193193 0.932419
0.194194 0.933099
0.195195 0.933778
0.196196 0.934458
0.197197 0.935137
0.198198 0.935817
0.199199 0.936496
0.200200 0.937176
0.201201 0.937855
0.202202 0.938535
0.203203 0.939214
0.204204 0.939894
0.205205 0.935492
0.206206 0.936059
0.207207 0.936625
0.208208 0.937191
0.209209 0.937757
0.210210 0.938324
0.211211 0.938890
0.212212 0.939456
0.213213 0.940022
0.214214 0.940589
0.215215 0.941155
0.216216 0.941721
0.217217 0.942287
0.218218 0.941334
0.219219 0.942246
0.220220 0.943159
0.221221 0.944071
0.222222 0.944984
0.223223 0.945897
0.224224 0.946809
0.225225 0.947722
0.226226 0.948634
0.227227 0.949547
0.228228 0.950459
0.229229 0.951372
0.230230 0.952284
0.231231 0.950551
0.232232 0.950973
0.233233 0.951394
0.234234 0.951816
0.235235 0.952238
0.236236 0.952660
0.237237 0.953081
0.238238 0.953503
0.239239 0.953925
0.240240 0.954346
0.241241 0.954768
0.242242 0.955190
0.243243 0.955611
0.244244 0.955192
0.245245 0.955562
0.246246 0.955931
0.247247 0.956300
0.248248 0.956669
0.249249 0.957038
0.250250 0.957408
0.251251 0.957777
0.252252 0.958146
0.253253 0.958515
0.254254 0.958885
0.255255 0.959254
0.256256 0.959623
0.257257 0.958987
0.258258 0.959121
0.259259 0.959255
0.260260 0.959390
0.261261 0.959524
0.262262 0.959658
0.263263 0.959792
0.264264 0.959927
0.265265 0.960061
0.266266 0.960195
0.267267 0.960329
0.268268 0.960463
0.269269 0.960602
0.270270 0.960849
0.271271 0.961097
0.272272 0.961344
0.273273 0.961592
0.274274 0.961839
0.275275 0.962086
0.276276 0.962334
0.277277 0.962581
0.278278 0.962829
0.279279 0.963076
0.280280 0.963323
0.281281 0.963571
0.282282 0.963802
0.283283 0.963978
0.284284 0.964154
0.285285 0.964330
0.286286 0.964507
0.287287 0.964683
0.288288 0.964859
0.289289 0.965035
0.290290 0.965211
0.291291 0.965388
0.292292 0.965564
0.293293 0.965740
0.294294 0.965916
0.295295 0.966097
0.296296 0.966284
0.297297 0.966470
0.298298 0.966657
0.299299 0.966843
0.300300 0.967030
0.301301 0.967217
0.302302 0.967403
0.303303 0.967590
0.304304 0.967777
0.305305 0.967963
0.306306 0.968150
0.307307 0.968336
0.308308 0.968641
0.309309 0.969020
0.310310 0.969399
0.311311 0.969777
0.312312 0.970156
0.313313 0.970535
0.314314 0.970913
0.315315 0.971292
0.316316 0.971671
0.317317 0.972050
0.318318 0.972428
0.319319 0.972807
0.320320 0.973186
0.321321 0.972736
0.322322 0.973087
0.323323 0.973439
0.324324 0.973790
0.325325 0.974141
0.326326 0.974493
0.327327 0.974844
0.328328 0.975195
0.329329 0.975547
0.330330 0.975898
0.331331 0.976249
0.332332 0.976601
0.333333 0.976227
0.334334 0.976416
0.335335 0.976605
0.336336 0.976793
0.337337 0.976982
0.338338 0.977171
0.339339 0.977360
0.340340 0.977548
0.341341 0.977737
0.342342 0.977926
0.343343 0.978114
0.344344 0.978303
0.345345 0.978492
0.346346 0.979383
0.347347 0.979459
0.348348 0.979535
0.349349 0.979610
0.350350 0.979686
0.351351 0.979761
0.352352 0.979837
0.353353 0.979912
0.354354 0.979988
0.355355 0.980063
0.356356 0.980139
0.357357 0.980215
0.358358 0.980290
0.359359 0.978823
0.360360 0.979081
0.361361 0.979339
0.362362 0.979597
0.363363 0.979855
0.364364 0.980113
0.365365 0.980371
0.366366 0.980629
0.367367 0.980888
0.368368 0.981146
0.369369 0.981404
0.370370 0.981662
0.371371 0.981920
0.372372 0.982087
0.373373 0.982188
0.374374 0.982288
0.375375 0.982389
0.376376 0.982490
0.377377 0.982590
0.378378 0.982691
0.379379 0.982792
0.380380 0.982892
0.381381 0.982993
0.382382 0.983094
0.383383 0.983194
0.384384 0.983295
0.385385 0.983352
0.386386 0.983396
0.387387 0.983440
0.388388 0.983484
0.389389 0.983528
0.390390 0.983572
0.391391 0.983617
0.392392 0.983661
0.393393 0.983705
0.394394 0.983749
0.395395 0.983793
0.396396 0.983837
0.397397 0.983881
0.398398 0.983883
0.399399 0.983883
0.400400 0.983883
0.401401 0.983883
0.402402 0.983883
0.403403 0.983883
0.404404 0.983883
0.405405 0.983883
0.406406 0.983883
0.407407 0.983883
0.408408 0.983883
0.409409 0.983883
0.410410 0.986057
0.411411 0.986057
0.412412 0.986057
0.413413 0.986057
0.414414 0.986057
0.415415 0.986057
0.416416 0.986057
0.417417 0.986057
0.418418 0.986057
0.419419 0.986057
0.420420 0.986057
0.421421 0.986057
0.422422 0.986057
0.423423 0.986057
0.424424 0.986057
0.425425 0.986057
0.426426 0.986057
0.427427 0.986057
0.428428 0.986057
0.429429 0.986057
0.430430 0.986057
0.431431 0.986057
0.432432 0.986057
0.433433 0.986057
0.434434 0.986057
0.435435 0.986057
0.436436 0.986087
0.437437 0.986144
0.438438 0.986200
0.439439 0.986257
0.440440 0.986313
0.441441 0.986370
0.442442 0.986427
0.443443 0.986483
0.444444 0.986540
0.445445 0.986596
0.446446 0.986653
0.447447 0.986709
0.448448 0.986766
0.449449 0.986781
0.450450 0.986781
0.451451 0.986781
0.452452 0.986781
0.453453 0.986781
0.454454 0.986781
0.455455 0.986781
0.456456 0.986781
0.457457 0.986781
0.458458 0.986781
0.459459 0.986781
0.460460 0.986781
0.461461 0.986781
0.462462 0.986781
0.463463 0.986781
0.464464 0.986781
0.465465 0.986781
0.466466 0.986781
0.467467 0.986781
0.468468 0.986781
0.469469 0.986781
0.470470 0.986781
0.471471 0.986781
0.472472 0.986781
0.473473 0.986781
0.474474 0.986781
0.475475 0.986781
0.476476 0.986781
0.477477 0.986781
0.478478 0.986781
0.479479 0.986781
0.480480 0.986781
0.481481 0.986781
0.482482 0.986781
0.483483 0.986781
0.484484 0.986781
0.485485 0.986781
0.486486 0.986781
