# fpr mean_tpr
0.000000 0.000000
0.001001 0.279395
0.002002 0.279395
0.003003 0.279395
0.004004 0.279395
0.005005 0.279395
0.006006 0.279395
0.007007 0.279395
0.008008 0.279395
0.009009 0.279395
0.010010 0.279395
0.011011 0.279395
0.012012 0.279395
0.013013 0.480318
0.014014 0.480318
0.015015 0.480318
0.016016 0.480318
0.017017 0.480318
0.018018 0.480318
0.019019 0.480318
0.020020 0.480318
0.021021 0.480318
0.022022 0.480318
0.023023 0.480318
0.024024 0.480318
0.025025 0.480318
0.026026 0.570313
0.027027 0.570313
0.028028 0.570313
0.029029 0.570313
0.030030 0.570313
0.031031 0.570313
0.032032 0.570313
0.033033 0.570313
0.034034 0.570313
0.035035 0.570313
0.036036 0.570313
0.037037 0.570313
0.038038 0.570313
0.039039 0.647686
0.040040 0.647686
0.041041 0.647686
0.042042 0.647686
0.043043 0.647686
0.044044 0.647686
0.045045 0.647686
0.046046 0.647686
0.047047 0.647686
0.048048 0.647686
0.049049 0.647686
0.050050 0.647686
0.051051 0.647686
0.052052 0.702992
0.053053 0.702992
0.054054 0.702992
0.055055 0.702992
0.056056 0.702992
0.057057 0.702992
0.058058 0.702992
0.059059 0.702992
0.060060 0.702992
0.061061 0.702992
0.062062 0.702992
0.063063 0.702992
0.064064 0.702992
0.065065 0.737985
0.066066 0.737985
0.067067 0.737985
0.068068 0.737985
0.069069 0.737985
0.070070 0.737985
0.071071 0.737985
0.072072 0.737985
0.073073 0.737985
0.074074 0.737985
0.075075 0.737985
0.076076 0.737985
0.077077 0.767871
0.078078 0.767871
0.079079 0.767871
0.080080 0.767871
0.081081 0.767871
0.082082 0.767871
0.083083 0.767871
0.084084 0.767871
0.085085 0.767871
0.086086 0.767871
0.087087 0.767871
0.088088 0.767871
0.089089 0.767871
0.090090 0.829780
0.091091 0.829780
0.092092 0.829780
0.093093 0.829780
0.094094 0.829780
0.095095 0.829780
0.096096 0.829780
0.097097 0.829780
0.098098 0.829780
0.099099 0.829780
0.100100 0.829780
0.101101 0.829780
0.102102 0.829780
0.103103 0.835659
0.104104 0.835659
0.105105 0.835659
0.106106 0.835659
0.107107 0.835659
0.108108 0.835659
0.109109 0.835659
0.110110 0.835659
0.111111 0.835659
0.112112 0.835659
0.113113 0.835659
0.114114 0.835659
0.115115 0.835659
0.116116 0.858146
0.117117 0.858146
0.118118 0.858146
0.119119 0.858146
0.120120 0.858146
0.121121 0.858146
0.122122 0.858146
0.123123 0.858146
0.124124 0.858146
0.125125 0.858146
0.126126 0.858146
0.127127 0.858146
0.128128 0.858146
0.129129 0.877489
0.130130 0.877489
0.131131 0.877489
0.132132 0.877489
0.133133 0.877489
0.134134 0.877489
0.135135 0.877489
0.136136 0.877489
0.137137 0.877489
0.138138 0.877489
0.139139 0.877489
0.140140 0.877489
0.141141 0.899018
0.142142 0.899018
0.143143 0.899018
0.144144 0.899018
0.145145 0.899018
0.146146 0.899018
0.147147 0.899018
0.148148 0.899018
0.149149 0.899018
0.150150 0.899018
0.151151 0.899018
0.152152 0.899018
0.153153 0.899018
0.154154 0.911033
0.155155 0.911033
0.156156 0.911033
0.157157 0.911033
0.158158 0.911033
0.159159 0.911033
0.160160 0.911033
0.161161 0.911033
0.162162 0.911033
0.163163 0.911033
0.164164 0.911033
0.165165 0.911033
0.166166 0.911033
0.167167 0.922394
0.168168 0.922394
0.169169 0.922394
0.170170 0.922394
0.171171 0.922394
0.172172 0.922394
0.173173 0.922394
0.174174 0.922394
0.175175 0.922394
0.176176 0.922394
0.177177 0.922394
0.178178 0.922394
0.179179 0.922394
0.180180 0.928436
0.181181 0.928436
0.182182 0.928436
0.183183 0.928436
0.184184 0.928436
0.185185 0.928436
0.186186 0.928436
0.187187 0.928436
0.188188 0.928436
0.189189 0.928436
0.190190 0.928436
0.191191 0.928436
0.192192 0.928436
0.193193 0.931580
0.194194 0.931580
0.195195 0.931580
0.196196 0.931580
0.197197 0.931580
0.198198 0.931580
0.199199 0.931580
0.200200 0.931580
0.201201 0.931580
0.202202 0.931580
0.203203 0.931580
0.204204 0.931580
0.205205 0.942859
0.206206 0.942859
0.207207 0.942859
0.208208 0.942859
0.209209 0.942859
0.210210 0.942859
0.211211 0.942859
0.212212 0.942859
0.213213 0.942859
0.214214 0.942859
0.215215 0.942859
0.216216 0.942859
0.217217 0.942859
0.218218 0.946003
0.219219 0.946003
0.220220 0.946003
0.221221 0.946003
0.222222 0.946003
0.223223 0.946003
0.224224 0.946003
0.225225 0.946003
0.226226 0.946003
0.227227 0.946003
0.228228 0.946003
0.229229 0.946003
0.230230 0.946003
0.231231 0.955435
0.232232 0.955435
0.233233 0.955435
0.234234 0.955435
0.235235 0.955435
0.236236 0.955435
0.237237 0.955435
0.238238 0.955435
0.239239 0.955435
0.240240 0.955435
0.241241 0.955435
0.242242 0.955435
0.243243 0.955435
0.244244 0.959303
0.245245 0.959303
0.246246 0.959303
0.247247 0.959303
0.248248 0.959303
0.249249 0.959303
0.250250 0.959303
0.251251 0.959303
0.252252 0.959303
0.253253 0.959303
0.254254 0.959303
0.255255 0.959303
0.256256 0.959303
0.257257 0.960835
0.258258 0.960835
0.259259 0.960835
0.260260 0.960835
0.261261 0.960835
0.262262 0.960835
0.263263 0.960835
0.264264 0.960835
0.265265 0.960835
0.266266 0.960835
0.267267 0.960835
0.268268 0.960835
0.269269 0.962284
0.270270 0.962284
0.271271 0.962284
0.272272 0.962284
0.273273 0.962284
0.274274 0.962284
0.275275 0.962284
0.276276 0.962284
0.277277 0.962284
0.278278 0.962284
0.279279 0.962284
0.280280 0.962284
0.281281 0.962284
0.282282 0.966071
0.283283 0.966071
0.284284 0.966071
0.285285 0.966071
0.286286 0.966071
0.287287 0.966071
0.288288 0.966071
0.289289 0.966071
0.290290 0.966071
0.291291 0.966071
0.292292 0.966071
0.293293 0.966071
0.294294 0.966071
0.295295 0.967602
0.296296 0.967602
0.297297 0.967602
0.298298 0.967602
0.299299 0.967602
0.300300 0.967602
0.301301 0.967602
0.302302 0.967602
0.303303 0.967602
0.304304 0.967602
0.305305 0.967602
0.306306 0.967602
0.307307 0.967602
0.308308 0.971388
0.309309 0.971388
0.310310 0.971388
0.311311 0.971388
0.312312 0.971388
0.313313 0.971388
0.314314 0.971388
0.315315 0.971388
0.316316 0.971388
0.317317 0.971388
0.318318 0.971388
0.319319 0.971388
0.320320 0.971388
0.321321 0.976145
0.322322 0.976145
0.323323 0.976145
0.324324 0.976145
0.325325 0.976145
0.326326 0.976145
0.327327 0.976145
0.328328 0.976145
0.329329 0.976145
0.330330 0.976145
0.331331 0.976145
0.332332 0.976145
0.333333 0.980014
0.334334 0.980014
0.335335 0.980014
0.336336 0.980014
0.337337 0.980014
0.338338 0.980014
0.339339 0.980014
0.340340 0.980014
0.341341 0.980014
0.342342 0.980014
0.343343 0.980014
0.344344 0.980014
0.345345 0.980014
0.346346 0.980739
0.347347 0.980739
0.348348 0.980739
0.349349 0.980739
0.350350 0.980739
0.351351 0.980739
0.352352 0.980739
0.353353 0.980739
0.354354 0.980739
0.355355 0.980739
0.356356 0.980739
0.357357 0.980739
0.358358 0.980739
0.359359 0.983158
0.360360 0.983158
0.361361 0.983158
0.362362 0.983158
0.363363 0.983158
0.364364 0.983158
0.365365 0.983158
0.366366 0.983158
0.367367 0.983158
0.368368 0.983158
0.369369 0.983158
0.370370 0.983158
0.371371 0.983158
0.372372 0.984689
0.373373 0.984689
0.374374 0.984689
0.375375 0.984689
0.376376 0.984689
0.377377 0.984689
0.378378 0.984689
0.379379 0.984689
0.380380 0.984689
0.381381 0.984689
0.382382 0.984689
0.383383 0.984689
0.384384 0.984689
0.385385 0.985414
0.386386 0.985414
0.387387 0.985414
0.388388 0.985414
0.389389 0.985414
0.390390 0.985414
0.391391 0.985414
0.392392 0.985414
0.393393 0.985414
0.394394 0.985414
0.395395 0.985414
0.396396 0.985414
0.397397 0.985414
0.398398 0.985414
0.399399 0.985414
0.400400 0.985414
0.401401 0.985414
0.402402 0.985414
0.403403 0.985414
0.404404 0.985414
0.405405 0.985414
0.406406 0.985414
0.407407 0.985414
0.408408 0.985414
0.409409 0.985414
0.410410 0.988312
0.411411 0.988312
0.412412 0.988312
0.413413 0.988312
0.414414 0.988312
0.415415 0.988312
0.416416 0.988312
0.417417 0.988312
0.418418 0.988312
0.419419 0.988312
0.420420 0.988312
0.421421 0.988312
0.422422 0.988312
0.423423 0.988312
0.424424 0.988312
0.425425 0.988312
0.426426 0.988312
0.427427 0.988312
0.428428 0.988312
0.429429 0.988312
0.430430 0.988312
0.431431 0.988312
0.432432 0.988312
0.433433 0.988312
0.434434 0.988312
0.435435 0.988312
0.436436 0.988312
0.437437 0.988312
0.438438 0.988312
0.439439 0.988312
0.440440 0.988312
0.441441 0.988312
0.442442 0.988312
0.443443 0.988312
0.444444 0.988312
0.445445 0.988312
0.446446 0.988312
0.447447 0.988312
0.448448 0.988312
0.449449 0.989762
0.450450 0.989762
0.451451 0.989762
0.452452 0.989762
0.453453 0.989762
0.454454 0.989762
0.455455 0.989762
0.456456 0.989762
0.457457 0.989762
0.458458 0.989762
0.459459 0.989762
0.460460 0.989762
0.461461 0.989762
0.462462 0.989762
0.463463 0.989762
0.464464 0.989762
0.465465 0.989762
0.466466 0.989762
0.467467 0.989762
0.468468 0.989762
0.469469 0.989762
0.470470 0.989762
0.471471 0.989762
0.472472 0.989762
0.473473 0.989762
0.474474 0.989762
0.475475 0.989762
0.476476 0.989762
0.477477 0.989762
0.478478 0.989762
0.479479 0.989762
0.480480 0.989762
0.481481 0.989762
0.482482 0.989762
0.483483 0.989762
0.484484 0.989762
0.485485 0.989762
0.486486 0.989762
0.487487 0.989762
0.488488 0.989762
0.489489 0.989762
0.490490 0.989762
0.491491 0.989762
0.492492 0.989762
0.493493 0.989762
0.494494 0.989762
0.495495 0.989762
0.496496 0.989762
0.497497 0.989762
0.498498 0.989762
0.499499 0.989762
0.500501 0.990568
0.501502 0.990568
0.502503 0.990568
0.503504 0.990568
0.504505 0.990568
0.505506 0.990568
0.506507 0.990568
0.507508 0.990568
0.508509 0.990568
0.509510 0.990568
0.510511 0.990568
0.511512 0.990568
0.512513 0.990568
0.513514 0.990568
0.514515 0.990568
0.515516 0.990568
0.516517 0.990568
0.517518 0.990568
0.518519 0.990568
0.519520 0.990568
0.520521 0.990568
0.521522 0.990568
0.522523 0.990568
0.523524 0.990568
0.524525 0.990568
0.525526 0.990568
0.526527 0.990568
0.527528 0.990568
0.528529 0.990568
0.529530 0.990568
0.530531 0.990568
0.531532 0.990568
0.532533 0.990568
0.533534 0.990568
0.534535 0.990568
0.535536 0.990568
0.536537 0.990568
0.537538 0.990568
0.538539 0.990568
0.539540 0.990568
0.540541 0.990568
0.541542 0.990568
0.542543 0.990568
0.543544 0.990568
0.544545 0.990568
0.545546 0.990568
0.546547 0.990568
0.547548 0.990568
0.548549 0.990568
0.549550 0.990568
0.550551 0.990568
0.551552 0.990568
0.552553 0.990568
0.553554 0.990568
0.554555 0.990568
0.555556 0.990568
0.556557 0.990568
0.557558 0.990568
0.558559 0.990568
0.559560 0.990568
0.560561 0.990568
0.561562 0.990568
0.562563 0.990568
0.563564 0.990568
0.564565 0.990568
0.565566 0.990568
0.566567 0.990568
0.567568 0.990568
0.568569 0.990568
0.569570 0.990568
0.570571 0.990568
0.571572 0.990568
0.572573 0.990568
0.573574 0.990568
0.574575 0.990568
0.575576 0.990568
0.576577 0.990568
0.577578 0.990568
0.578579 0.990568
0.579580 0.990568
0.580581 0.990568
0.581582 0.990568
0.582583 0.990568
0.583584 0.990568
0.584585 0.990568
0.585586 0.990568
0.586587 0.990568
0.587588 0.990568
0.588589 0.990568
0.589590 0.990568
0.590591 0.992099
0.591592 0.992099
0.592593 0.992099
0.593594 0.992099
0.594595 0.992099
0.595596 0.992099
0.596597 0.992099
0.597598 0.992099
0.598599 0.992099
0.599600 0.992099
0.600601 0.992099
0.601602 0.992099
0.602603 0.992824
0.603604 0.992824
0.604605 0.992824
0.605606 0.992824
0.606607 0.992824
0.607608 0.992824
0.608609 0.992824
0.609610 0.992824
0.610611 0.992824
0.611612 0.992824
0.612613 0.992824
0.613614 0.992824
0.614615 0.992824
0.615616 0.992824
0.616617 0.992824
0.617618 0.992824
0.618619 0.992824
0.619620 0.992824
0.620621 0.992824
0.621622 0.992824
0.622623 0.992824
0.623624 0.992824
0.624625 0.992824
0.625626 0.992824
0.626627 0.992824
0.627628 0.992824
0.628629 0.992824
0.629630 0.992824
0.630631 0.992824
0.631632 0.992824
0.632633 0.992824
0.633634 0.992824
0.634635 0.992824
0.635636 0.992824
0.636637 0.992824
0.637638 0.992824
0.638639 0.992824
0.639640 0.992824
0.640641 0.992824
0.641642 0.994437
0.642643 0.994437
0.643644 0.994437
0.644645 0.994437
0.645646 0.994437
0.646647 0.994437
0.647648 0.994437
0.648649 0.994437
0.649650 0.994437
0.650651 0.994437
0.651652 0.994437
0.652653 0.994437
0.653654 0.994437
0.654655 0.995243
0.655656 0.995243
0.656657 0.995243
0.657658 0.995243
0.658659 0.995243
0.659660 0.995243
0.660661 0.995243
0.661662 0.995243
0.662663 0.995243
0.663664 0.995243
0.664665 0.995243
0.665666 0.995243
0.666667 0.995243
0.667668 0.995243
0.668669 0.995243
0.669670 0.995243
0.670671 0.995243
0.671672 0.995243
0.672673 0.995243
0.673674 0.995243
0.674675 0.995243
0.675676 0.995243
0.676677 0.995243
0.677678 0.995243
0.678679 0.995243
0.679680 0.995243
0.680681 0.995243
0.681682 0.995243
0.682683 0.995243
0.683684 0.995243
0.684685 0.995243
0.685686 0.995243
0.686687 0.995243
0.687688 0.995243
0.688689 0.995243
0.689690 0.995243
0.690691 0.995243
0.691692 0.995243
0.692693 0.995243
0.693694 0.995243
0.694695 0.995243
0.695696 0.995243
0.696697 0.995243
0.697698 0.995243
0.698699 0.995243
0.699700 0.995243
0.700701 0.995243
0.701702 0.995243
0.702703 0.995243
0.703704 0.995243
0.704705 0.995243
0.705706 0.996050
0.706707 0.996050
0.707708 0.996050
0.708709 0.996050
0.709710 0.996050
0.710711 0.996050
0.711712 0.996050
0.712713 0.996050
0.713714 0.996050
0.714715 0.996050
0.715716 0.996050
0.716717 0.996050
0.717718 0.996050
0.718719 0.996050
0.719720 0.996050
0.720721 0.996050
0.721722 0.996050
0.722723 0.996050
0.723724 0.996050
0.724725 0.996050
0.725726 0.996050
0.726727 0.996050
0.727728 0.996050
0.728729 0.996050
0.729730 0.996050
0.730731 0.996050
0.731732 0.996050
0.732733 0.996050
0.733734 0.996050
0.734735 0.996050
0.735736 0.996050
0.736737 0.996050
0.737738 0.996050
0.738739 0.996050
0.739740 0.996050
0.740741 0.996050
0.741742 0.996050
0.742743 0.996050
0.743744 0.996856
0.744745 0.996856
0.745746 0.996856
0.746747 0.996856
0.747748 0.996856
0.748749 0.996856
0.749750 0.996856
0.750751 0.996856
0.751752 0.996856
0.752753 0.996856
0.753754 0.996856
0.754755 0.996856
0.755756 0.996856
0.756757 0.996856
0.757758 0.996856
0.758759 0.996856
0.759760 0.996856
0.760761 0.996856
0.761762 0.996856
0.762763 0.996856
0.763764 0.996856
0.764765 0.996856
0.765766 0.996856
0.766767 0.996856
0.767768 0.996856
0.768769 0.996856
0.769770 0.996856
0.770771 0.996856
0.771772 0.996856
0.772773 0.996856
0.773774 0.996856
0.774775 0.996856
0.775776 0.996856
0.776777 0.996856
0.777778 0.996856
0.778779 0.996856
0.779780 0.996856
0.780781 0.996856
0.781782 0.996856
0.782783 0.996856
0.783784 0.996856
0.784785 0.996856
0.785786 0.996856
0.786787 0.996856
0.787788 0.996856
0.788789 0.996856
0.789790 0.996856
0.790791 0.996856
0.791792 0.996856
0.792793 0.996856
0.793794 0.996856
0.794795 0.996856
0.795796 0.998387
0.796797 0.998387
0.797798 0.998387
0.798799 0.998387
0.799800 0.998387
0.800801 0.998387
0.801802 0.998387
0.802803 0.998387
0.803804 0.998387
0.804805 0.998387
0.805806 0.998387
0.806807 0.998387
0.807808 0.998387
0.808809 0.998387
0.809810 0.998387
0.810811 0.998387
0.811812 0.998387
0.812813 0.998387
0.813814 0.998387
0.814815 0.998387
0.815816 0.998387
0.816817 0.998387
0.817818 0.998387
0.818819 0.998387
0.819820 0.998387
0.820821 0.998387
0.821822 0.998387
0.822823 0.998387
0.823824 0.998387
0.824825 0.998387
0.825826 0.998387
0.826827 0.998387
0.827828 0.998387
0.828829 0.998387
0.829830 0.998387
0.830831 0.998387
0.831832 0.998387
0.832833 0.998387
0.833834 0.998387
0.834835 0.998387
0.835836 0.998387
0.836837 0.998387
0.837838 0.998387
0.838839 0.998387
0.839840 0.998387
0.840841 0.998387
0.841842 0.998387
0.842843 0.998387
0.843844 0.998387
0.844845 0.998387
0.845846 0.998387
0.846847 0.998387
0.847848 0.998387
0.848849 0.998387
0.849850 0.998387
0.850851 0.998387
0.851852 0.998387
0.852853 0.998387
0.853854 0.998387
0.854855 0.998387
0.855856 0.998387
0.856857 0.998387
0.857858 0.998387
0.858859 0.998387
0.859860 0.998387
0.860861 0.998387
0.861862 0.998387
0.862863 0.998387
0.863864 0.998387
0.864865 0.998387
0.865866 0.998387
0.866867 0.998387
0.867868 0.998387
0.868869 0.998387
0.869870 0.998387
0.870871 0.998387
0.871872 0.998387
0.872873 0.998387
0.873874 0.998387
0.874875 0.998387
0.875876 0.998387
0.876877 0.998387
0.877878 0.998387
0.878879 0.998387
0.879880 0.998387
0.880881 0.998387
0.881882 0.998387
0.882883 0.998387
0.883884 0.998387
0.884885 0.998387
0.885886 0.998387
0.886887 0.998387
0.887888 0.998387
0.888889 0.998387
0.889890 0.998387
0.890891 0.998387
0.891892 0.998387
0.892893 0.998387
0.893894 0.998387
0.894895 0.998387
0.895896 0.998387
0.896897 0.998387
0.897898 0.998387
0.898899 0.998387
0.899900 0.998387
0.900901 0.998387
0.901902 0.998387
0.902903 0.998387
0.903904 0.998387
0.904905 0.998387
0.905906 0.998387
0.906907 0.998387
0.907908 0.998387
0.908909 0.998387
0.909910 0.998387
0.910911 0.998387
0.911912 0.998387
0.912913 0.998387
0.913914 0.998387
0.914915 0.998387
0.915916 0.998387
0.916917 0.998387
0.917918 0.998387
0.918919 0.998387
0.919920 0.998387
0.920921 0.998387
0.921922 0.998387
0.922923 0.998387
0.923924 0.998387
0.924925 0.998387
0.925926 0.998387
0.926927 0.998387
0.927928 0.998387
0.928929 0.998387
0.929930 0.998387
0.930931 0.998387
0.931932 0.998387
0.932933 0.998387
0.933934 0.998387
0.934935 0.998387
0.935936 0.998387
0.936937 0.998387
0.937938 0.998387
0.938939 0.998387
0.939940 0.998387
0.940941 0.998387
0.941942 0.998387
0.942943 0.998387
0.943944 0.998387
0.944945 0.998387
0.945946 0.998387
0.946947 0.998387
0.947948 0.998387
0.948949 0.998387
0.949950 0.998387
0.950951 0.998387
0.951952 0.998387
0.952953 0.998387
0.953954 0.998387
0.954955 0.998387
0.955956 0.998387
0.956957 0.998387
0.957958 0.998387
0.958959 0.998387
0.959960 0.998387
0.960961 0.998387
0.961962 0.999194
0.962963 0.999194
0.963964 0.999194
0.964965 0.999194
0.965966 0.999194
0.966967 0.999194
0.967968 0.999194
0.968969 0.999194
0.969970 0.999194
0.970971 0.999194
0.971972 0.999194
0.972973 0.999194
0.973974 0.999194
0.974975 0.999194
0.975976 0.999194
0.976977 0.999194
0.977978 0.999194
0.978979 0.999194
0.979980 0.999194
0.980981 0.999194
0.981982 0.999194
0.982983 0.999194
0.983984 0.999194
0.984985 0.999194
0.985986 0.999194
0.986987 0.999194
0.987988 1.000000
0.988989 1.000000
0.989990 1.000000
0.990991 1.000000
0.991992 1.000000
0.992993 1.000000
0.993994 1.000000
0.994995 1.000000
0.995996 1.000000
0.996997 1.000000
0.997998 1.000000
0.998999 1.000000
1.000000 1.000000
