# fpr ccr
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.153226
0.000000 0.040323
0.000000 0.016129
0.000000 0.000000
0.000000 0.000000
0.012821 0.370968
0.012821 0.282258
0.012821 0.483871
0.012821 0.564516
0.038462 0.588710
0.064103 0.645161
0.115385 0.766129
0.115385 0.717742
0.128205 0.806452
0.141026 0.822581
0.153846 0.846774
0.166667 0.862903
0.192308 0.887097
0.192308 0.862903
0.205128 0.887097
0.217949 0.911290
0.217949 0.895161
0.230769 0.959677
0.230769 0.935484
0.243590 0.967742
0.243590 0.959677
0.282051 0.975806
0.320513 0.983871
0.346154 0.983871
0.358974 0.983871
0.384615 0.983871
0.423077 0.983871
0.423077 0.983871
0.423077 0.983871
0.423077 0.983871
0.423077 0.983871
0.423077 0.983871
0.423077 0.983871
0.435897 0.983871
0.474359 0.983871
0.500000 0.983871
0.512821 0.983871
0.512821 0.983871
0.512821 0.983871
0.576923 0.983871
0.589744 0.983871
0.628205 0.983871
0.628205 0.983871
0.628205 0.983871
0.641026 0.983871
0.641026 0.983871
0.666667 0.983871
0.692308 0.983871
0.705128 0.983871
0.717949 0.983871
0.717949 0.983871
0.743590 0.991935
0.769231 0.991935
0.794872 0.991935
0.846154 0.991935
0.884615 0.991935
0.910256 0.991935
0.935897 0.991935
0.948718 0.991935
0.948718 0.991935
0.948718 0.991935
0.987179 0.991935
0.987179 1.000000
0.987179 0.991935
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
