# fpr tpr
0.000000 0.000000
0.000000 0.008065
0.000000 0.032258
0.012821 0.032258
0.012821 0.129032
0.025641 0.129032
0.025641 0.177419
0.038462 0.177419
0.038462 0.209677
0.051282 0.209677
0.051282 0.435484
0.064103 0.435484
0.064103 0.637097
0.076923 0.637097
0.076923 0.645161
0.089744 0.645161
0.089744 0.653226
0.115385 0.653226
0.115385 0.725806
0.128205 0.725806
0.128205 0.766129
0.141026 0.766129
0.141026 0.862903
0.153846 0.862903
0.153846 0.870968
0.166667 0.870968
0.166667 0.887097
0.205128 0.887097
0.205128 0.919355
0.230769 0.919355
0.230769 0.927419
0.282051 0.927419
0.282051 0.935484
0.307692 0.935484
0.307692 0.943548
0.320513 0.943548
0.320513 0.951613
0.358974 0.951613
0.358974 0.975806
0.371795 0.975806
0.371795 0.983871
0.500000 0.983871
0.500000 0.991935
0.961538 0.991935
0.961538 1.000000
1.000000 1.000000
